Категория; Имя продукта; Код продукта; Цена, бел.руб 
USB Flash Drive ICONIK; Iconik <RB-BOTTLEG-4GB>USB2.0 Flash Drive 4Gb (RTL); 112613/1005; 139601.1; 
IP-камеры TRENDnet; TRENDnet<TV-IP512P>PoE Internet Camera Server with 2-way Audio (LAN. 640x480. SD. микрофон); 87339/1005; 1980555.0; 
Волоконно-оптическое оборуд-е; Patch cord ВО. SC-ST. Duplex. SM 9/125  3м; 84620/1005; 103289.9; 
IP-камеры TRENDnet; TRENDnet<TV-IP501W>ProView Wireless Internet Camera (LAN. 802.11b/g/n); 96935/1005; 1577362.2; 
IP-камеры TRENDnet; TRENDnet<TV-IP501P>ProView PoE Internet Camera (LAN. 640x480. микрофон); 92858/1005; 1102290.0; 
IP-камеры TRENDnet; TRENDnet <TV-IP422> Pan/Tilt Day/Night Internet Camera Server (LAN. USB host. микрофон); 75946/1005; 2679382.5; 
IP-камеры TRENDnet; TRENDnet<TV-IP312WN>SecurView Wireless N IP Camera (LAN. 640x480. f=4.5mm. 802.11b/g/n.микрофон.6 LED); 122523/1005; 2760179.4; 
IP-камеры TRENDnet; TRENDnet <TV-IP312> 2-way Audio Day/Night Internet Camera Server (LAN. USB. микрофон); 75666/1005; 2294024.7; 
IP-камеры TRENDnet; TRENDnet <TV-IP252P> SecurView PoE Dome Internet Camera (LAN. 640x480. color. BNC); 90609/1005; 2751261.9; 
IP-камеры TRENDnet; TRENDnet <TV-IP110> Internet Camera Server (LAN. 640x480); 75944/1005; 708016.4; 
IP-камеры TRENDnet; TRENDnet <TV-IR500> объектив формата 1/3". IRпрожектор (f=6.0mm. F1.8. 12 LED. 10м); 95625/1005; 563709.5; 
IP-камеры TRENDnet; TRENDnet <TV-M7> 7" Wireless Internet Camera and Photo Monitor(Wide. 800x480. CR. 802.11b/g.ПДУ); 83802/1005; 2294024.7; 
TV-Тюнеры; TV Tuner AVerMedia HomeFree Combo <F210> (RTL) (LAN. Analog. DVB-T); 114961/1005; 1407111.9; 
TV-Тюнеры; TV Tuner ДУ AVerMedia <AVer3D Satellite TV> (RTL) (USB. DVB-S. DVB-S2); 123995/1005; 1093372.5; 
TV-Тюнеры; TV Tuner AVerMedia Aver3d Volar mini (RTL) (USB. DVB-T); 116977/1005; 346809.8; 
TV-Тюнеры; TV Tuner FM ДУ AVerMedia <AVerTV Hybrid Volar HD-Windows Media Center Kit> (RTL) (USB. Analog. DVB-T); 108088/1005; 994731.9; 
TV-Тюнеры; TV Tuner FM ДУ AVerMedia <AVerTV Hybrid Ultra USB> (RTL) (USB. Analog. DVB-T); 71509/1005; 1057432.8; 
TV-Тюнеры; TV Tuner FM ДУ AVerMedia <AVerTV Hybrid Volar M> (RTL) (USB. Analog. DVB-T); 106325/1005; 940957.2; 
TV-Тюнеры; TV Tuner FM ДУ AVerMedia <AVerTV Hybrid Volar HD> (RTL) (USB. Analog. DVB-T); 89769/1005; 923122.2; 
TV-Тюнеры; TV Tuner FM AVerMedia <AVerTV Volar Go M> (RTL) (USB. Analog); 106324/1005; 627486.6; 
TV-Тюнеры; TV Tuner FM ДУ AVerMedia <AVerTV Volar Go> (RTL) (USB. Analog); 86909/1005; 609380.2; 
TV-Тюнеры; TV Tuner FM  AVerMedia <AVerTV Volar Lite II> (RTL) (USB. Analog); 95410/1005; 465521.3; 
TV-Тюнеры; TV Tuner ДУ AVerMedia <AVerTV Mediaport> (RTL) (EXT. Analog. Video/Audio Player. MMC/SD/MS/USB); 87499/1005; 1048515.3; 
TV-Тюнеры; TV Tuner ДУ AVerMedia <AVerTV BoxW9 Lite> (RTL) (EXT. Analog); 112430/1005; 896100.0; 
TV-Тюнеры; TV Tuner ДУ AVerMedia <AVerTV BoxW7 Super> (RTL) (EXT. Analog); 80573/1005; 779628.8; 
TV-Тюнеры; TV Tuner FM ДУ AVerMedia <AVerTV Ultra PCI-E RDS> (RTL) (PCI-Ex1. Analog. DVB-T); 83554/1005; 824487.7; 
TV-Тюнеры; TV Tuner FM ДУ AVerMedia <AVerTV Studio 809> (RTL) (PCI. Analog.RDS); 86540/1005; 645321.6; 
TV-Тюнеры; TV Tuner FM ДУ AVerMedia <AVerTV Super 009> (RTL) (PCI. analog); 95411/1005; 398454.8; 
TV тюнеры Beholder; TV Tuner FM ДУ Beholder <Behold TV A8> (RTL) (PCI-Ex1. Analog); 98721/1005; 555603.8; 
TV тюнеры Beholder; TV Tuner FM ДУ Beholder <Behold TV H8> (RTL) (PCI-Ex1. DVB-T); 98720/1005; 654240.0; 
TV тюнеры Beholder; TV Tuner FM ДУ Beholder <Behold TV H85> (RTL) (PCI-Ex1. Analog. DVB-T. ДУ); 108495/1005; 600462.7; 
TV тюнеры Beholder; TV Tuner FM ДУ Beholder <Behold TV Wander> (RTL) (USB2.0. Analog. DVB-T); 36682/1005; 842594.1; 
Веб-камеры Genius; Genius FaceCam 3000 (USB2.0. 1280x720. с гарнитурой) <32200275100>; 117512/1005; 405537.5; 
TV тюнеры Beholder; TV Tuner FM Beholder <Behold TV Wander Lite> (RTL) (USB2.0. Analog. DVB-T); 111082/1005; 770711.3; 
TV тюнеры Beholder; TV Tuner FM ДУ Beholder <Behold TV Voyage> (RTL) (USB2.0. Analog); 46065/1005; 654240.0; 
Веб-камеры Genius; Genius eFace 2025 (USB2.0. 1600x1200. с микрофоном) <32200160101/3>; 88584/1005; 304488.7; 
TV тюнеры Beholder; TV Tuner FM Beholder <Behold TV Voyage Lite> (RTL) (USB2.0. Analog); 111081/1005; 582627.7; 
TV тюнеры Beholder; TV Tuner FM ДУ Beholder <Behold TV Solo-II> (RTL) (EXT. Analog); 81460/1005; 994731.9; 
TV тюнеры Beholder; TV Tuner ДУ Beholder <Behold TV Intro> (RTL) (EXT. Analog); 75705/1005; 887182.5; 
TV тюнеры Beholder; TV Tuner FM ДУ Beholder <Behold TV X7> (RTL) (PCI. Analog. DVB-T); 83665/1005; 896100.0; 
TV тюнеры Beholder; TV Tuner FM ДУ Beholder <Behold TV H75> (RTL) (PCI. Analog. DVB-T); 111080/1005; 609380.2; 
TV тюнеры Beholder; TV Tuner FM ДУ Beholder <Behold TV H7> (RTL) (PCI. Analog. DVB-T); 97488/1005; 654240.0; 
Web-камеры A4TECH; A4-Tech WebCam <PK-835G> (USB2.0. 640x480. микрофон); 123163/1005; 125079.0; 
TV тюнеры K-WORLD; TV Tuner ДУ KWorld <SA233> (RTL) (EXT. Analog); 117688/1005; 470658.7; 
TV тюнеры K-WORLD; TV Tuner ДУ KWorld <KW-UB423-D(V2)> (RTL) (USB2.0. Analog. DVB-T); 114179/1005; 495378.0; 
TV тюнеры K-WORLD; TV Tuner FM ДУ KWorld <KW-UB490-A> (RTL) (USB2.0. Analog); 114178/1005; 405537.5; 
TV тюнеры прочие; TV Tuner FM ДУ iconBIT <U100FM mk2> TV-Hunter Analog (RTL) (USB2.0. Analog); 110353/1005; 361244.9; 
TV тюнеры прочие; TV Tuner FM ДУ Leadtek <WinFast TV2000 XP Global> (PCI. Analog); 56222/1005; 385990.3; 
Web-камеры A4TECH; A4-Tech WebCam <PK-836F(N)> (USB2.0. 640x480. микрофон); 119464/1005; 93966.1; 
Web-камеры A4TECH; A4-Tech WebCam <PK-810G-1 Black> (USB2.0. 640x480. микрофон); 114882/1005; 139601.1; 
Web-камеры A4TECH; A4-Tech WebCam <PK-810G-2 Grey> (USB2.0. 640x480. микрофон); 114883/1005; 117725.8; 
Web-камеры A4TECH; A4-Tech WebCam <PK-770G> (USB2.0. 640x480. микрофон); 119077/1005; 127049.6; 
Web-камеры A4TECH; A4-Tech WebCam <PK-760E> (USB2.0. 640x480); 97707/1005; 103289.9; 
Web-камеры A4TECH; A4-Tech WebCam <PK-750G> (USB2.0. 640x480. микрофон); 132099/1005; 149910.6; 
Web-камеры A4TECH; A4-Tech <PKS-732G> (USB2.0. 640x480. микрофон. косметическая подсветка); 119078/1005; 143726.6; 
Web-камеры A4TECH; A4-Tech WebCam <PKS-730G> (USB2.0. 640x480. микрофон. подсветка); 123989/1005; 150809.3; 
Web-камеры A4TECH; A4-Tech WebCam <PK-710G> (USB2.0. 640x480. микрофон); 123988/1005; 136374.2; 
Web-камеры A4TECH; A4-Tech WebCam <PK-635K> (USB2.0. 640x480. микрофон); 89533/1005; 115841.4; 
Web-камеры A4TECH; A4-Tech ViewCam Pro <PKS-635K> (USB2.0. 640x480. микрофон); 90010/1005; 122924.0; 
Web-камеры A4TECH; A4-Tech WebCam <PK-333E> (USB2.0. 640x480. подсветка); 97706/1005; 117725.8; 
Web-камеры A4TECH; A4-Tech WebCam <PK-130MJ> (USB2.0. 1280x1024. микрофон); 89532/1005; 171342.2; 
Web-камеры CBR; CBR WebCam <CW 373M S> (1280x1024. USB2.0. микрофон); 130405/1005; 175467.7; 
Web-камеры CBR; CBR WebCam <CW 373M R> (1280x1024. USB2.0. микрофон); 130404/1005; 163273.8; 
Web-камеры CBR; CBR WebCam <CW 373M B> (1280x1024. USB2.0. микрофон); 130403/1005; 149910.6; 
Web-камеры CBR; CBR WebCam <CW 820M> (1280x1024. USB2.0. микрофон); 130399/1005; 165245.2; 
Web-камеры CBR; CBR WebCam <CW 515M>  (1280x1024. USB2.0. микрофон); 119118/1005; 154037.0; 
Web-камеры CBR; CBR WebCam <CW 530M B> (1280x1024. USB2.0. микрофон); 109379/1005; 147582.5; 
Web-камеры CBR; CBR WebCam <CW 808M Traveller> (1280x1024. USB2.0. микрофон); 109378/1005; 87956.1; 
Web-камеры CBR; CBR WebCam <CW 110M Football> (1280x1024. USB2.0. микрофон); 115790/1005; 68322.2; 
Web-камеры CBR; CBR WebCam <CW 810M> (1280x1024. USB2.0. микрофон); 109375/1005; 138257.8; 
Web-камеры CBR; CBR WebCam <CW 510M> (1280x1024. USB2.0. микрофон); 109374/1005; 147582.5; 
Web-камеры CREATIVE; Creative Live! CAM Socialize VF0640 (RTL) (USB2.0. 640x480. микрофон); 99544/1005; 218861.6; 
Web-камеры CREATIVE; Creative Live! CAM Sync VF0520 (RTL) (USB2.0. 640x480); 99546/1005; 154037.0; 
Web-камеры CREATIVE; Creative Live! CAM Notebook Pro (RTL) (USB. 640x480. микрофон); 97102/1005; 132160.8; 
Веб-камеры Defender; Defender G-Lens 2597 HD720p (USB2.0. 1280x720. микрофон)<63197>; 128026/1005; 327262.7; 
Веб-камеры Defender; Defender G-Lens 2577 HD720p (USB2.0. 1600x1200. микрофон) <63177>; 128025/1005; 279743.3; 
Веб-камеры Defender; Defender G-Lens 2552 (USB2.0. 1600x1200. микрофон) <63052>; 106700/1005; 203439.9; 
Веб-камеры Defender; Defender G-Lens 1554 (USB2.0. 640x480. микрофон) <63054>; 106701/1005; 136374.2; 
Веб-камеры Defender; Defender GLory 1350 HD (USB2.0. 1280x1024. микрофон) <63135>; 128885/1005; 194029.1; 
Веб-камеры Defender; Defender GLory 1330 HD (USB2.0. 1280x1024. микрофон. подсветка) <63133>; 128886/1005; 144712.3; 
Веб-камеры Defender; Defender GLory 330 (USB2.0. 640x480. микрофон) <63330>; 128888/1005; 128035.3; 
Веб-камеры Defender; Defender GLory 327 (USB2.0. 640x480. микрофон. подсветка) <63327>; 128889/1005; 88854.7; 
Веб-камеры Defender; Defender G-Lens 321 (USB2.0. 640x480. микрофон. подсветка) <63321>; 112647/1005; 117725.8; 
Веб-камеры Defender; Defender C-090 Black (USB2.0. 640x480. микрофон) <63090>; 126339/1005; 61954.8; 
Веб-камеры Defender; Defender C-090 Orange (USB2.0. 640x480. микрофон) <63091>; 126340/1005; 61954.8; 
Веб-камеры Defender; Defender C-090 Green (USB2.0. 640x480. микрофон) <63093>; 126342/1005; 61954.8; 
Веб-камеры Genius; Genius eFace 1325R (USB2.0. 1280x1024. с микрофоном. подсветка) <32200142101>; 72914/1005; 246746.8; 
Веб-камеры Genius; Genius FaceCam 2000 (USB2.0 1600x1200) <32200007100>; 117510/1005; 260197.0; 
Веб-камеры Genius; Genius FaceCam 1320 (USB2.0. 1280x1024) <32200178101>; 108368/1005; 159148.2; 
Веб-камеры Genius; Genius FaceCam 1020 (USB2.0. 1280x720. с микрофоном) <322000(09/10)100>; 121035/1005; 203439.9; 
Веб-камеры Genius; Genius FaceCam 1005 (USB2.0. 1280x1024) <32200181101>; 120357/1005; 197256.0; 
Веб-камеры Genius; Genius FaceCam 1000 (USB2.0. 1280x720) <32200005100>; 117509/1005; 174569.0; 
Веб-камеры Genius; Genius FaceCam 315 (USB. 640x480. с микрофоном) <32200180101>; 104377/1005; 105618.9; 
Веб-камеры Genius; Genius FaceCam 311 (USB. 640x480. с микрофоном) <32200282101>; 105710/1005; 125079.0; 
Веб-камеры Genius; Genius FaceCam 300 (USB. 640x480) <32200006100/3>; 117527/1005; 91096.4; 
Веб-камеры Genius; Genius iLook 1321 (USB2.0. 1280x1024. микрофон) <32200132101>; 80790/1005; 180665.9; 
Веб-камеры Genius; Genius iLook 300 (USB. 640x480) <32200103101>; 50417/1005; 103289.9; 
Веб-камеры Genius; Genius iSlim 320 (USB2.0. 640x480. микрофон) <32200107101>; 77280/1005; 137360.0; 
Веб-камеры Genius; Genius iSlim 321R (USB2.0. 640x480. микрофон. подсветка) <32200128101>; 60897/1005; 163273.8; 
Веб-камеры Kreolz; Kreolz WebCam WCM-60 (640x480. USB2.0. микрофон); 132126/1005; 111628.8; 
Веб-камеры Kreolz; Kreolz WebCam WCM-59 (1280x1024. USB2.0. микрофон); 106096/1005; 122924.0; 
Веб-камеры Kreolz; Kreolz WebCam WCM-54 (640x480. USB2.0. микрофон); 132124/1005; 84729.0; 
Веб-камеры Logitech; Logitech HD Pro Webcam C920 (RTL) (USB2.0. 1920*1080. микрофон) <960-000769>; 131960/1005; 959061.9; 
Веб-камеры Logitech; Logitech HD Webcam C310 (RTL) (USB2.0. 1280x720. микрофон)<960-000638>; 103647/1005; 377922.8; 
Веб-камеры Logitech; Logitech HD Webcam C270 (RTL) (USB2.0. 1280x720. микрофон)  <960-000810>; 124367/1005; 290053.7; 
Веб-камеры Logitech; Logitech HD WebCam C270 (RTL) (USB2.0. 1280x720. микрофон)<960-000635>; 115944/1005; 229084.1; 
Веб-камеры Logitech; Logitech HD Webcam C270 (RTL) (USB2.0. 1280x720. микрофон) <960-000636>; 102632/1005; 220117.0; 
Веб-камеры Logitech; Logitech WebCam C210 (RTL) (USB2.0. 640x480. микрофон)<960-000656>; 115941/1005; 216890.1; 
Веб-камеры MAYS; MAYS WebCam CW-200m (USB2.0. 640x480. микрофон); 114009/1005; 87956.1; 
Веб-камеры MAYS; MAYS WebCam CW-310m (USB2.0. 1280x1024. микрофон); 114012/1005; 105618.9; 
Веб-камеры Microsoft LifeCam; Microsoft LifeCam HD-6000 for notebooks (RTL) (USB2.0. 720p. микрофон) <7PD-00004>; 99848/1005; 492908.9; 
Веб-камеры Orient; Orient QF-830 WebCam (USB2.0. 640x480. подсветка); 109068/1005; 148838.7; 
Веб-камеры Orient; Orient QF-612 WebCam (USB. 640x480. подсветка); 61455/1005; 74506.2; 
Web-камеры CANYON; Gembird Toy Webcam <CAM-68UT> (RTL) (USB. 640x480. микрофон); 98666/1005; 109386.8; 
Web-камеры CANYON; Trust HiRes Webcam Live <15354> (RTL) (USB2.0. 640x480. микрофон); 126179/1005; 177796.7; 
Web-камеры CANYON; Trust MultiCover Chat Webcam <16490> (RTL) (USB. 640x480. микрофон); 124785/1005; 167215.7; 
Мониторы; 24"  MONITOR Acer <ET.FG5HE.B05> G245H Bbd <Black> (LCD. Wide.1920x1080. D-Sub. DVI); 130110/1005; 2034329.7; 
Мониторы; 23"  MONITOR Acer <ET.VG5HE.010> GR235H bmii <Black> (LCD. Wide.1920x1080. D-Sub. HDMI. 2D/3D); 119793/1005; 2482379.7; 
Мониторы; 23.6" MONITOR Acer <ET.UH4HE.005> HS244HQ bmii <Black> (LCD.Wide. 1920x1080. D-Sub. HDMI. 2D/3D); 113595/1005; 3414149.7; 
Мониторы; 23.6" MONITOR Acer <ET.UV3HE.A15> V243HQ AObd <Black> (LCD. Wide.1920x1080. D-Sub. DVI); 105883/1005; 1559257.5; 
Мониторы; 21.5" MONITOR Acer <ET.WS1HE.D01> S221HQL Dbd <Black> (LCD. Wide. 1920x1080. D-Sub. DVI); 115092/1005; 1308480.0; 
Мониторы; 21.5" MONITOR Acer <ET.WS0HE.B06> S220HQL B bd <Black> (LCD. Wide. 1920x1080. D-Sub. DVI); 127666/1005; 1362254.7; 
Мониторы; 22"  MONITOR Acer <ET.EV3WE.E17> V223W Eob <Black> (LCD. Wide.1680x1050. D-Sub); 106717/1005; 1442781.9; 
Мониторы; 21.5" MONITOR Acer <ET.WV3HE.021> V223HQV bd <Black> (LCD. Wide. 1920x1080. D-Sub. DVI); 127664/1005; 1192004.4; 
Мониторы; 20"  MONITOR Acer <ET.DS0HE.B07> S200HL Bbd <Black> (LCD. Wide. 1600x900. D-Sub. DVI); 126694/1005; 1245787.8; 
Мониторы; 19"  MONITOR Acer <ET.CV3WE.E20> V193W EOb <Black> (LCD. Wide.1440x900. D-Sub); 104581/1005; 1192004.4; 
Мониторы; 19"  MONITOR Acer <ET.CV3RE.D34> V193 DObd<Black> (LCD. 1280x1024. D-Sub. DVI); 104657/1005; 1442781.9; 
Мониторы; 18.5" MONITOR Acer <ET.XS1HE.G02> S191HQL Gb <Black> (LCD. Wide. 1366x768. D-Sub); 130604/1005; 932039.7; 
Мониторы; 23"  MONITOR AOC I2353Fh <Silver-Black> (LCD. Wide. 1920x1080. D-Sub. HDMI); 122907/1005; 1837057.2; 
Мониторы; 23"  MONITOR AOC e2350sda <Black> (LCD. Wide. 1920x1080. D-Sub. DVI); 121700/1005; 1496565.3; 
Волоконно-оптическое оборуд-е; Patch cord ВО. LC-ST. Duplex. MM 50/125 2м; 76991/1005; 102391.6; 
Мониторы; 22"  MONITOR AOC 2219P2 <Silver-Black> с поворотом экрана(LCD. Wide. 1680x1050. D-Sub. DVI); 97531/1005; 1720590.3; 
Мониторы; 21.5" MONITOR AOC 2236Vwa (LCD. Wide. 1920x1080. D-Sub. DVI. USB2.0 port); 105811/1005; 1424946.9; 
Волоконно-оптическое оборуд-е; Patch cord ВО. LC-SC. Duplex. MM 50/125 2м; 32263/1005; 102391.6; 
Мониторы; 19"  MONITOR AOC 919VZ(LCD. 1280x1024. D-Sub. DVI); 107698/1005; 1308480.0; 
Мониторы; 18.5" MONITOR AOC e950Swda <Black>(LCD. Wide. 1366x768. D-Sub. DVI); 120429/1005; 923122.2; 
LCD мониторы ASUS; 27"  MONITOR ASUS VE278Q BK (LCD. Wide. 1920x1080. DisplayPort. D-Sub. DVI. HDMI); 108852/1005; 3396314.7; 
LCD мониторы ASUS; 23.6" MONITOR ASUS VE247H BK (LCD. Wide. 1920x1080. D-Sub. DVI. HDMI); 111770/1005; 1935697.8; 
LCD мониторы ASUS; 24"  MONITOR ASUS VW248TLB BK с поворотом экрана (LCD. Wide.1920x1080. D-Sub. DVI. USB2.0 Hub); 118912/1005; 2141887.8; 
LCD мониторы ASUS; 23.6" MONITOR ASUS VH242HL BK (LCD. Wide. 1920x1080. D-Sub. DVI. HDMI); 118911/1005; 1980555.0; 
LCD мониторы ASUS; 23"  MONITOR ASUS ML239H BK (LCD. Wide. 1920x1080. D-Sub. HDMI); 115946/1005; 2088104.4; 
LCD мониторы ASUS; 23"  MONITOR ASUS MS238H BK (LCD. Wide. 1920x1080. D-Sub. HDMI); 94259/1005; 1702755.3; 
LCD мониторы ASUS; 22"  MONITOR ASUS VW224T BK (LCD. Wide. 1680x1050. D-Sub. DVI); 88057/1005; 1523587.5; 
LCD мониторы ASUS; 21.5" MONITOR ASUS VS229H BK (LCD. Wide. 1920x1080. D-Sub. DVI. HDMI); 125305/1005; 1702755.3; 
LCD мониторы ASUS; 21.5" MONITOR ASUS VW228TLB BK с поворотом экрана (LCD. Wide.1920x1080. D-Sub. DVI. USB2.0 Hub); 126151/1005; 1872996.9; 
Волоконно-оптическое оборуд-е; Patch cord ВО. MTRJ-2SC. Duplex. MM 50/125  2м; 84616/1005; 117725.8; 
LCD мониторы ASUS; 20"  MONITOR ASUS VH208D BK (LCD. Wide. 1600x900. D-Sub); 118671/1005; 1156064.7; 
Волоконно-оптическое оборуд-е; Patch cord ВО. MTRJ-LC. Duplex. MM 50/125  2м; 84613/1005; 126150.9; 
LCD мониторы BenQ; 23.6" MONITOR BenQ XL2410T <Black> (LCD. Wide. 1920x1080. D-Sub. DVI.HDMI. 2D/3D); 106396/1005; 2724239.7; 
LCD мониторы BenQ; 21.5" MONITOR BenQ GL2250M <Black> (LCD. Wide. 1920x1080. D-Sub. DVI); 127716/1005; 1407111.9; 
LCD мониторы DELL; 30"  MONITOR DELL U3011 (LCD. Wide. 2560x1600. D-Sub. DVI. HDMI.Component. DP. USB2.0Hub. CR); 107772/1005; 14902404.0; 
LCD мониторы DELL; 27"  MONITOR DELL U2711 (LCD. Wide. 2560x1440. D-Sub. DVI. HDMI.DP.RCA.Component.USB2.0 Hub.CR); 96483/1005; 8808854.4; 
LCD мониторы DELL; 24"  MONITOR DELL U2410 с поворотом экрана (LCD.Wide.1920x1200.D-Sub.DVI.HDMI.DP.RCA.Comp.USB2.0Hub.CR); 88690/1005; 6245947.5; 
LCD мониторы DELL; 23"  MONITOR DELL E2311H <Black> (LCD. Wide.1920x1080. D-Sub. DVI); 116291/1005; 2222415.0; 
LCD мониторы DELL; 18.5" MONITOR DELL E1912H <Black> (LCD. Wide. 1366x768. D-Sub); 123596/1005; 1532505.0; 
LCD мониторы DELL; 18.5" MONITOR DELL IN1930 (LCD. Wide. 1366x768. D-Sub); 124017/1005; 1397924.7; 
Вентиляторы Nexus; Nexus WaveAir (вентилятор для PCI слота. 3пин. 80x80x25mm. 17.6дБ. 1500 об/мин); 123868/1005; 129021.0; 
LCD мониторы IIYAMA; 22"  MONITOR IIYAMA ProLite T2250MTS-B1 <Black> (Multi-Touch LCD. Wide. 1920x1080. D-Sub. DVI); 94518/1005; 3593587.2; 
LCD мониторы IIYAMA; 22"  MONITOR IIYAMA ProLite E2207WS-B2 <Black> (LCD. Wide. 1680x1050. D-Sub. DVI); 79793/1005; 2114856.9; 
LCD мониторы LG; 24"  MONITOR LG E2411T-BN Flatron <Black> (LCD. Wide. 1920x1080. D-Sub. DVI); 120023/1005; 1729507.8; 
LCD мониторы LG; 23"  MONITOR LG E2351VR-BN Flatron <Black> (LCD. Wide. 1920x1080. D-Sub. DVI. HDMI); 123456/1005; 1720590.3; 
LCD мониторы LG; 23"  MONITOR LG E2351T-BN Flatron <Black> (LCD. Wide. 1920x1080. D-Sub. DVI); 123455/1005; 1666806.9; 
LCD мониторы LG; 21.5" MONITOR LG IPS226V-PN Flatron <Black> (LCD. Wide. 1920x1080. D-Sub. DVI. HDMI); 113680/1005; 1953532.8; 
Коммутационное оборудование; Patch Cord UTP кат.5e 0.5м. зелёный; 36498/1005; 7082.5; 
LCD мониторы LG; 22"  MONITOR LG E2210S-BN Flatron <Black> (LCD. Wide. 1680x1050. D-Sub); 112466/1005; 1407111.9; 
LCD мониторы LG; 19"  MONITOR LG E1910S-BN Flatron <Black>(LCD. 1280x1024. D-Sub); 115623/1005; 1389007.2; 
LCD мониторы NEC; 24.1" MONITOR NEC PA241W-BK с поворотом экрана (LCD. Wide. 1920x1200. D-Sub. DVI. DP. USB Hub); 98251/1005; 10161948.0; 
LCD мониторы NEC; 23"  MONITOR NEC EX231Wp <White-White> с поворотом экрана (LCD. Wide. 1920x1080. DVI. DP. USB Port); 121962/1005; 3217146.9; 
LCD мониторы NEC; 23"  MONITOR NEC EX231W <White> с поворотом экрана (LCD. Wide. 1920x1080. DVI. DP. USB2.0 Port); 110374/1005; 2204580.0; 
LCD мониторы NEC; 20"  MONITOR NEC E201W-BK <Black> с поворотом экрана (LCD. Wide. 1600x900. D-Sub. DVI. DP); 113229/1005; 1881914.4; 
LCD мониторы NEC; 20"  MONITOR NEC E201W <Silver-White> с поворотом экрана (LCD. Wide. 1600x900. D-Sub. DVI. DP); 113741/1005; 1953532.8; 
LCD мониторы NEC; 20.1" MONITOR NEC EX201W-BK <Black> с поворотом экрана (LCD. Wide. 1600x900. DVI. DP. USB2.0 Port); 127718/1005; 2410770.0; 
LCD мониторы NEC; 20.1" MONITOR NEC 2090UXi <Silver-White> с поворотом экрана (LCD. 1600x1200. D-Sub. DVI-I. DVI-D); 87437/1005; 7751430.3; 
Коммутационное оборудование; Patch Cord UTP кат.5e 5м. красный; 33522/1005; 17933.2; 
LCD мониторы NEC; 19"  MONITOR NEC 1990SX-BK <Black> с поворотом экрана (LCD. 1280x1024. D-Sub. DVI-I. DVI-D); 71502/1005; 5502262.8; 
LCD мониторы NEC; 17"  MONITOR NEC LCD175M <Silver-White> (LCD. 1280x1024. D-Sub. DVI); 98392/1005; 1613032.2; 
Коммутационное оборудование; Patch Cord UTP кат.5e 5м. синий; 49190/1005; 17933.2; 
LCD мониторы Philips; 23"  MONITOR PHILIPS 236V3LSB/01 (LCD. Wide. 1920x1080. D-Sub. DVI); 128424/1005; 1514670.0; 
LCD мониторы Philips; 21.5" MONITOR PHILIPS 228C3LHSB/01 (LCD. Wide. 1920x1080. D-Sub. HDMI); 127055/1005; 1595197.2; 
LCD мониторы Philips; 21.5" MONITOR PHILIPS 221S3LSB/01 (LCD. Wide. 1920x1080. D-Sub. DVI); 123477/1005; 1353337.2; 
LCD мониторы Samsung; 27"  MONITOR Samsung S27A850D с поворотом экрана (LCD. Wide. 2560x1440. Dual link DVI. DP. USB3.0 Hub); 125071/1005; 7742512.8; 
LCD мониторы Samsung; 23"  MONITOR Samsung S23B350B (LCD. Wide. 1920x1080. D-Sub. DVI); 132448/1005; 1810304.7; 
LCD мониторы Samsung; 21.5" MONITOR Samsung S22A100N <Black> (LCD. Wide. 1920x1080. D-Sub); 125304/1005; 1254705.3; 
LCD мониторы Samsung; 21.5" MONITOR Samsung S22B370H (LCD. Wide. 1920x1080. D-Sub. HDMI); 132296/1005; 1532505.0; 
LCD мониторы Samsung; 20"  MONITOR Samsung S20B300B (LCD. Wide. 1600x900. D-Sub. DVI); 130577/1005; 1093372.5; 
LCD мониторы Samsung; 18.5" MONITOR Samsung S19B150N (LCD. Wide. 1366x768. D-Sub); 130101/1005; 869346.6; 
LCD мониторы Samsung; 17"  MONITOR Samsung E1720NR ASB <Black> (LCD. 1280x1024. D-Sub); 100129/1005; 1138229.7; 
LCD мониторы ViewSonic; 23.6" MONITOR Viewsonic V3D245 (LCD. Wide. 1920x1080. D-Sub. Dual Link DVI. HDMI. 2D/3D); 127167/1005; 3960840.3; 
Web-камеры CANYON; Gembird PC Camera <Cam67U> (RTL) (USB2.0. 640x480. микрофон); 99666/1005; 105618.9; 
LCD мониторы ViewSonic; 23.6" MONITOR Viewsonic VG2436Wm-LED с поворотом экрана (LCD.Wide. 1920x1080. D-Sub. DVI); 110990/1005; 2132970.3; 
LCD мониторы ViewSonic; 23.6" MONITOR Viewsonic VA2448-LED (LCD. Wide. 1920x1080. D-Sub. DVI); 117211/1005; 1648971.9; 
LCD мониторы ViewSonic; 23"  MONITOR Viewsonic V3D231 (LCD. Wide. 1920x1080. D-Sub. DVI. HDMI. 2D/3D); 124945/1005; 2571824.4; 
Оргтехника PANASONIC; Panasonic KX-TS2358RUW <White> телефон; 80938/1005; 370569.5; 
LCD мониторы ViewSonic; 20"  MONITOR Viewsonic VA2014WM (LCD. Wide. 1600x900. D-Sub); 106314/1005; 1120125.0; 
Коммутационное оборудование; Patch Cord UTP кат.5e 15м. зелёный; 84977/1005; 34339.9; 
Коммутационное оборудование; Розетка 220В 2к+з. 45х45. белая. <45131SBR> Efapel; 31365/1005; 43664.1; 
